Date,Time,Daily_new,Cumulative,Cum_male,Cum_female,Days
2020年1月19日,24时,1,1,1,0,1
2020年1月20日,24时,8,9,7,2,2
2020年1月21日,24时,4,14,9,5,3
2020年1月22日,24时,1,15,10,5,4
2020年1月23日,24时,0,15,10,5,5
2020年1月24日,24时,5,20,14,6,6
2020年1月25日,24时,6,27,20,7,7
2020年1月26日,24时,9,36,22,14,8
2020年1月27日,24时,13,49,27,22,9
2020年1月28日,24时,14,63,34,29,10
2020年1月29日,24时,23,86,44,42,11
2020年1月30日,24时,24,110,56,54,12
2020年1月31日,24时,60,170,78,92,13
2020年2月1日,24时,26,196,91,105,14
2020年2月2日,24时,30,226,105,121,15
2020年2月3日,24时,43,269,129,140,16
2020年2月4日,24时,20,289,137,152,17
2020年2月5日,24时,25,314,149,165,18
2020年2月6日,24时,20,334,161,173,19
2020年2月7日,24时,17,351,170,181,20
2020年2月8日,24时,13,364,174,190,21
2020年2月9日,24时,4,368,176,192,22
2020年2月10日,24时,7,375,178,197,23
2020年2月11日,24时,11,386,184,202,24
2020年2月12日,24时,5,391,187,204,25
2020年2月13日,24时,9,400,192,208,26
2020年2月14日,24时,6,406,194,212,27
2020年2月15日,24时,8,414,195,219,28
2020年2月16日,24时,1,415,196,219,29
2020年2月17日,24时,1,416,197,219,30
2020年2月18日,24时,0,416,197,219,31
2020年2月18日,24时,14,763,-,-,32
2020年2月19日,24时,0,416,197,219,33
2020年2月20日,24时,0,416,197,219,34
2020年2月21日,24时,1,417,197,220,35
2020年2月22日,24时,0,417,197,220,36
2020年2月23日,24时,0,417,197,220,37
2020年2月24日,24时,0,417,197,220,38
2020年2月25日,24时,0,417,197,220,39
2020年2月26日,24时,0,417,197,220,40
2020年2月27日,24时,0,417,197,220,41
2020年2月28日,24时,0,417,197,220,42
2020年2月29日,24时,0,417,197,220,43
2020年3月1日,24时,1,418,198,220,44
2020年3月2日,24时,0,418,198,220,45
2020年3月3日,24时,0,418,198,220,46
2020年3月4日,24时,0,418,198,220,47
2020年3月5日,24时,0,418,198,220,48
2020年3月6日,24时,1,419,198,221,49
2020年3月7日,24时,0,419,198,221,50
2020年3月8日,24时,0,419,198,221,51
2020年3月9日,24时,0,419,198,221,52
2020年3月10日,24时,0,419,198,221,53
2020年3月11日,24时,1,420,199,221,54
2020年3月12日,24时,0,420,199,221,55
2020年3月13日,24时,0,420,199,221,56
2020年3月14日,24时,1,421,200,221,57
2020年3月15日,24时,2,423,202,221,58
2020年3月16日,24时,0,423,202,221,59
2020年3月17日,24时,2,425,204,221,60
2020年3月18日,24时,2,427,206,221,61
