Date,Time,Daily_new,Cumulative,Cum_male,Cum_female,Days
2021年12月19日,24时,0,598,-,-,1
2021年12月20日,24时,0,598,-,-,2
2021年12月21日,24时,0,598,-,-,3
2021年12月22日,24时,1,599,-,-,4
2021年12月23日,24时,0,599,-,-,5
2021年12月24日,24时,5,604,-,-,6
2021年12月25日,24时,0,604,-,-,7
2021年12月26日,24时,0,604,-,-,8
2021年12月27日,24时,0,604,-,-,9
2021年12月28日,24时,0,604,-,-,10
2021年12月29日,24时,0,604,-,-,11
2021年12月30日,24时,1,605,-,-,12
2021年12月31日,24时,5,610,-,-,13
2022年1月1日,24时,1,611,-,-,14
2022年1月2日,24时,0,611,-,-,15
2022年1月3日,24时,4,615,-,-,16
2022年1月4日,24时,1,616,-,-,17
2022年1月5日,24时,1,617,-,-,18
2022年1月6日,24时,0,617,-,-,19
2022年1月7日,24时,2,619,-,-,20
2022年1月8日,24时,2,621,-,-,21
2022年1月9日,24时,2,623,-,-,22
2022年1月10日,24时,0,623,-,-,23
2022年1月11日,24时,7,630,-,-,24
2022年1月12日,24时,2,632,-,-,25
2022年1月13日,24时,1,633,-,-,26
2022年1月14日,24时,3,636,-,-,27
2022年1月15日,24时,0,636,-,-,28
2022年1月16日,24时,2,638,-,-,29
2022年1月17日,24时,1,639,-,-,30
2022年1月18日,24时,1,640,-,-,31
2022年1月19日,24时,0,640,-,-,32
2022年1月20日,24时,3,643,-,-,33
2022年1月21日,24时,0,643,-,-,34
2022年1月22日,24时,1,644,-,-,35
2022年1月23日,24时,0,644,-,-,36
2022年1月24日,24时,1,645,-,-,37
2022年1月25日,24时,0,645,-,-,38
2022年1月26日,24时,1,646,-,-,39
2022年1月27日,24时,0,646,-,-,40
2022年1月28日,24时,1,648,-,-,41
2022年1月29日,24时,0,648,-,-,42
2022年1月30日,24时,0,648,-,-,43
2022年1月31日,24时,5,653,-,-,44
2022年2月1日,24时,2,655,-,-,45
2022年2月2日,24时,4,659,-,-,46
2022年2月3日,24时,4,663,-,-,47
2022年2月4日,24时,2,665,-,-,48
2022年2月5日,24时,1,666,-,-,49
2022年2月6日,24时,3,669,-,-,50
2022年2月7日,24时,2,671,-,-,51
2022年2月8日,24时,7,678,-,-,52
2022年2月9日,24时,1,679,-,-,53
2022年2月10日,24时,4,683,-,-,54
2022年2月11日,24时,13,696,-,-,55
2022年2月12日,24时,10,706,-,-,56
2022年2月13日,24时,9,715,-,-,57
2022年2月14日,24时,7,722,-,-,58
2022年2月15日,24时,11,733,-,-,59
2022年2月16日,24时,10,743,-,-,60
2022年2月17日,24时,6,749,-,-,61
2022年2月19日,24时,21,784,-,-,62
2022年2月20日,24时,14,798,-,-,63
2022年2月21日,24时,14,812,-,-,64
2022年2月22日,24时,24,836,-,-,65
2022年2月23日,24时,28,864,-,-,66
2022年2月24日,24时,24,888,-,-,67
2022年2月25日,24时,35,923,-,-,68
2022年2月26日,24时,32,954,-,-,69
2022年2月27日,24时,56,1012,-,-,70
2022年2月28日,24时,54,1066,-,-,71
2022年3月1日,24时,81,1147,-,-,72
2022年3月2日,24时,60,1207,-,-,73
2022年3月3日,24时,118,1325,-,-,74
2022年3月4日,24时,82,1407,-,-,75
2022年3月5日,24时,77,1484,-,-,76
2022年3月6日,24时,53,1537,-,-,77
2022年3月7日,24时,50,1587,-,-,78
2022年3月8日,24时,31,1618,-,-,79
2022年3月9日,24时,35,1653,-,-,80
2022年3月10日,24时,45,1698,-,-,81
2022年3月11日,24时,48,1746,-,-,82
2022年3月12日,24时,77,1823,-,-,83
2022年3月13日,24时,101,1924,-,-,84
2022年3月14日,24时,54,1978,-,-,85
2022年3月15日,24时,69,2047,-,-,86
2022年3月16日,24时,83,2130,-,-,87
2022年3月17日,24时,77,2207,-,-,88
2022年3月18日,24时,56,2263,-,-,89
2022年3月19日,24时,69,2332,-,-,90
2022年3月20日,24时,36,2368,-,-,91
2022年3月21日,24时,24,2392,-,-,92
2022年3月22日,24时,16,2408,-,-,93
2022年3月23日,24时,9,2417,-,-,94
2022年3月24日,24时,7,2424,-,-,95
2022年3月25日,24时,4,2428,-,-,96
2022年3月26日,24时,2,2430,-,-,97
2022年3月27日,24时,2,2432,-,-,98
2022年3月28日,24时,5,2437,-,-,99
2022年3月29日,24时,5,2442,-,-,100
2022年3月30日,24时,8,2450,-,-,101
2022年3月31日,24时,0,2450,-,-,102
2022年4月1日,24时,0,2450,-,-,103
2022年4月2日,24时,5,2455,-,-,104
2022年4月3日,24时,3,2458,-,-,105
2022年4月4日,24时,2,2460,-,-,106
2022年4月5日,24时,2,2462,-,-,107
